id;available;delivery;pickup;store;url;vendor;name;category;price;oldprice;currencyId;picture;description;param;sales_notes;warranty;country_of_origin;barcode;bid;cbid
niAYk9qGA0Sc;true;true;false;false;https://amo-led.ru/product/apple_iphone_se_64gb_rfb;Apple;Apple iPhone SE 64Gb Space Gray восстановленный;Мобильные телефоны;9899;11200;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/SpaceGray/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
Bn4nimePiuhY;true;true;false;false;https://amo-led.ru/product/apple_iphone_se_128gb_rfb;Apple;Apple iPhone SE 128Gb Gold восстановленный;Мобильные телефоны;11099;12600;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/Gold/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
3Xh25ZegcOTK;true;true;false;false;https://amo-led.ru/product/apple_iphone_se_128gb_rfb;Apple;Apple iPhone SE 128Gb Rose Gold восстановленный;Мобильные телефоны;11099;12600;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/RoseGold/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
sIGNPnLfVMwg;true;true;false;false;https://amo-led.ru/product/apple_iphone_se_128gb_rfb;Apple;Apple iPhone SE 128Gb Silver восстановленный;Мобильные телефоны;11099;12600;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/Silver/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
4jXuVKTexsBj;true;true;false;false;https://amo-led.ru/product/apple_iphone_se_128gb_rfb;Apple;Apple iPhone SE 128Gb Space Gray восстановленный;Мобильные телефоны;11099;12600;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/SpaceGray/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
fAkW6z7JddYh;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_16gb_rfb;Apple;Apple iPhone 6 16Gb Gold восстановленный;Мобильные телефоны;9499;10800;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/Gold/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
UPrt1xC7h459;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_16gb_rfb;Apple;Apple iPhone 6 16Gb Silver восстановленный;Мобильные телефоны;9499;10800;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/Silver/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
l367ihlk8R3P;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_16gb_rfb;Apple;Apple iPhone 6 16Gb Space Gray восстановленный;Мобильные телефоны;9499;10800;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/SpaceGray/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
wv95ify8Ix50;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_32gb_rfb;Apple;Apple iPhone 6 32Gb Gold восстановленный;Мобильные телефоны;10099;11500;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/Gold/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
tLFHFvp08vM0;true;true;false;false;https://amo-led.ru/product/apple_iphone_6_32gb_rfb;Apple;Apple iPhone 6 32Gb Silver восстановленный;Мобильные телефоны;10099;11500;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/6/Silver/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
